,DateTime,temperature,power,energy,aX,aY,aZ,gX,gY,gZ
0,2021-05-12 14:29:20.792294,30.09,,,,,,,,
1,2021-05-12 14:29:20.799310,,0.0,,,,,,,
2,2021-05-12 14:29:20.818295,,,0.0,,,,,,
3,2021-05-12 14:29:21.200064,,,,0.1,,,,,
4,2021-05-12 14:29:21.216837,,,,,-0.0,,,,
5,2021-05-12 14:29:21.225829,,,,,,1.1,,,
6,2021-05-12 14:29:21.231836,,,,,,,0.0,,
7,2021-05-12 14:29:21.236830,,,,,,,,0.1,
8,2021-05-12 14:29:21.246807,,,,,,,,,0.2
9,2021-05-12 14:29:21.823135,,,,0.1,,,,,
10,2021-05-12 14:29:21.842154,,,,,-0.0,,,,
11,2021-05-12 14:29:21.848132,,,,,,1.1,,,
12,2021-05-12 14:29:21.853138,,,,,,,-0.2,,
13,2021-05-12 14:29:21.859136,,,,,,,,0.1,
14,2021-05-12 14:29:21.864136,,,,,,,,,0.1
15,2021-05-12 14:29:22.446827,,,,0.1,,,,,
16,2021-05-12 14:29:22.462837,,,,,0.0,,,,
17,2021-05-12 14:29:22.472845,,,,,,1.2,,,
18,2021-05-12 14:29:22.482827,,,,,,,11.4,,
19,2021-05-12 14:29:22.489858,,,,,,,,2.1,
20,2021-05-12 14:29:22.494855,,,,,,,,,0.3
21,2021-05-12 14:29:23.073440,,,,0.1,,,,,
22,2021-05-12 14:29:23.097433,,,,,-0.0,,,,
23,2021-05-12 14:29:23.105454,,,,,,0.9,,,
24,2021-05-12 14:29:23.112436,,,,,,,-1.2,,
25,2021-05-12 14:29:23.118438,,,,,,,,0.8,
26,2021-05-12 14:29:23.123471,,,,,,,,,-0.0
27,2021-05-12 14:29:23.702475,,,,0.5,,,,,
28,2021-05-12 14:29:23.724618,,,,,-0.0,,,,
29,2021-05-12 14:29:23.744035,,,,,,1.0,,,
30,2021-05-12 14:29:23.754055,,,,,,,0.1,,
31,2021-05-12 14:29:23.759050,,,,,,,,-63.8,
32,2021-05-12 14:29:23.764057,,,,,,,,,-0.4
33,2021-05-12 14:29:24.332623,,,,0.9,,,,,
34,2021-05-12 14:29:24.348628,,,,,-0.1,,,,
35,2021-05-12 14:29:24.358661,,,,,,0.4,,,
36,2021-05-12 14:29:24.363650,,,,,,,-1.6,,
37,2021-05-12 14:29:24.369645,,,,,,,,-44.1,
38,2021-05-12 14:29:24.374623,,,,,,,,,-0.4
39,2021-05-12 14:29:24.967762,,,,1.0,,,,,
40,2021-05-12 14:29:24.991755,,,,,-0.1,,,,
41,2021-05-12 14:29:24.997765,,,,,,0.0,,,
42,2021-05-12 14:29:25.005785,,,,,,,-0.7,,
43,2021-05-12 14:29:25.012758,,,,,,,,-11.7,
44,2021-05-12 14:29:25.018800,,,,,,,,,-0.1
45,2021-05-12 14:29:25.595035,,,,1.0,,,,,
46,2021-05-12 14:29:25.613073,,,,,-0.1,,,,
47,2021-05-12 14:29:25.628073,,,,,,0.3,,,
48,2021-05-12 14:29:25.636055,,,,,,,-0.1,,
49,2021-05-12 14:29:25.643057,,,,,,,,-0.4,
50,2021-05-12 14:29:25.650029,,,,,,,,,0.1
