,DateTime,temperature,power,energy,aX,aY,aZ,gX,gY,gZ
107,2021-05-25 15:33:34.662,,,,,,,,,0.0
108,2021-05-25 15:33:35.165,,,,1.0,,,,,
109,2021-05-25 15:33:35.181,,,,,-0.0,,,,
110,2021-05-25 15:33:35.187,,,,,,-0.1,,,
111,2021-05-25 15:33:35.196,,,,,,,-0.0,,
112,2021-05-25 15:33:35.207,,,,,,,,-0.0,
113,2021-05-25 15:33:35.220,,,,,,,,,0.1
114,2021-05-25 15:33:35.826,,,,1.0,,,,,
115,2021-05-25 15:33:35.887,,,,,-0.1,,,,
116,2021-05-25 15:33:35.899,,,,,,-0.1,,,
117,2021-05-25 15:33:35.915,,,,,,,0.1,,
118,2021-05-25 15:33:35.926,,,,,,,,-0.2,
119,2021-05-25 15:33:35.940,,,,,,,,,0.2
120,2021-05-25 15:33:36.440,,,,1.0,,,,,
121,2021-05-25 15:33:36.474,,,,,-0.1,,,,
122,2021-05-25 15:33:36.486,,,,,,-0.1,,,
123,2021-05-25 15:33:36.497,,,,,,,-0.0,,
124,2021-05-25 15:33:36.509,,,,,,,,-0.1,
125,2021-05-25 15:33:36.518,,,,,,,,,0.1
126,2021-05-25 15:33:37.079,,,,1.0,,,,,
127,2021-05-25 15:33:37.156,,,,,-0.1,,,,
128,2021-05-25 15:33:37.171,,,,,,-0.1,,,
129,2021-05-25 15:33:37.176,,,,,,,0.1,,
130,2021-05-25 15:33:37.186,,,,,,,,-0.1,
131,2021-05-25 15:33:37.200,,,,,,,,,0.2
132,2021-05-25 15:33:37.717,,,,1.0,,,,,
133,2021-05-25 15:33:37.777,,,,,-0.1,,,,
134,2021-05-25 15:33:37.788,,,,,,-0.1,,,
135,2021-05-25 15:33:37.802,,,,,,,0.0,,
136,2021-05-25 15:33:37.806,,,,,,,,0.1,
137,2021-05-25 15:33:37.820,,,,,,,,,0.1
138,2021-05-25 15:33:38.349,,,,1.0,,,,,
139,2021-05-25 15:33:38.407,,,,,-0.1,,,,
140,2021-05-25 15:33:38.424,,,,,,-0.1,,,
141,2021-05-25 15:33:38.435,,,,,,,0.0,,
142,2021-05-25 15:33:38.444,,,,,,,,-0.2,
143,2021-05-25 15:33:38.456,,,,,,,,,-0.1
144,2021-05-25 15:33:38.979,,,,1.0,,,,,
145,2021-05-25 15:33:39.037,,,,,-0.1,,,,
146,2021-05-25 15:33:39.053,,,,,,-0.1,,,
147,2021-05-25 15:33:39.057,,,,,,,0.1,,
148,2021-05-25 15:33:39.075,,,,,,,,-0.1,
149,2021-05-25 15:33:39.086,,,,,,,,,0.2
150,2021-05-25 15:33:39.612,,,,1.0,,,,,
151,2021-05-25 15:33:39.630,,,,,-0.1,,,,
152,2021-05-25 15:33:39.636,,,,,,-0.1,,,
153,2021-05-25 15:33:39.654,,,,,,,0.1,,
154,2021-05-25 15:33:39.655,,,,,,,,0.1,
155,2021-05-25 15:33:39.668,,,,,,,,,0.0
156,2021-05-25 15:33:40.247,,,,1.0,,,,,
157,2021-05-25 15:33:40.273,,,,,-0.1,,,,
158,2021-05-25 15:33:40.288,,,,,,-0.1,,,
159,2021-05-25 15:33:40.297,,,,,,,0.0,,
