,DateTime,temperature,power,energy,aX,aY,aZ,gX,gY,gZ
50,2021-05-12 14:32:51.034898,0.0,6.03,68.0,0.1,0.0,1.1,0.2,-0.2,0.2
51,2021-05-12 14:32:52.006326,0.0,163.45,68.0,0.0,0.0,1.2,0.1,-0.4,-0.1
52,2021-05-12 14:32:54.004112,0.0,173.36,68.0,0.1,0.0,1.2,-0.9,-0.6,-0.1
53,2021-05-12 14:33:01.012225,0.0,13.56,68.0,0.1,0.0,1.2,0.8,-0.5,0.3
54,2021-05-12 14:33:03.013774,0.0,4.77,298.0,0.1,0.0,1.1,0.3,0.2,-0.2
55,2021-05-12 14:33:07.007491,0.0,6.44,298.0,0.1,0.0,1.1,0.3,0.1,-0.1
56,2021-05-12 14:33:09.003183,0.0,175.66,298.0,0.1,0.0,1.2,0.4,0.4,-0.2
57,2021-05-12 14:33:12.001815,0.0,165.67,298.0,0.1,0.0,1.2,1.2,0.5,0.1
58,2021-05-12 14:33:18.012206,0.0,12.38,298.0,0.1,0.0,1.2,3.0,0.5,0.3
59,2021-05-12 14:33:19.023924,0.0,4.8,298.0,0.1,0.0,1.1,0.1,0.1,0.1
60,2021-05-12 14:33:24.054927,0.0,8.11,298.0,0.1,0.0,1.1,0.3,0.3,0.2
61,2021-05-12 14:33:25.030453,0.0,172.2,298.0,0.1,0.0,1.2,0.2,0.1,0.1
62,2021-05-12 14:33:30.040029,0.0,163.9,298.0,0.1,0.0,1.2,-0.8,-0.6,-0.2
63,2021-05-12 14:33:34.007546,0.0,9.82,298.0,0.1,0.0,1.1,-0.9,0.5,-0.2
64,2021-05-12 14:33:36.010943,0.0,4.77,298.0,0.1,0.0,1.1,0.3,-0.1,0.1
65,2021-05-12 14:33:40.015089,0.0,7.73,298.0,0.1,0.0,1.1,0.2,0.2,0.1
66,2021-05-12 14:33:42.002512,0.0,169.83,298.0,0.1,0.0,1.2,0.9,-0.7,-0.2
67,2021-05-12 14:33:43.013687,0.0,157.23,298.0,0.1,0.0,1.1,0.2,-0.2,-0.1
68,2021-05-12 14:33:46.013177,0.0,166.72,298.0,0.1,0.0,1.2,-0.6,-0.5,-0.2
69,2021-05-12 14:33:49.002247,0.0,157.99,298.0,0.1,0.0,1.2,0.7,0.9,0.2
