,DateTime,temperature,power,energy,aX,aY,aZ,gX,gY,gZ
0,2021-05-11 14:41:16.980829,31.16,,,,,,,,
1,2021-05-11 14:41:16.990838,,0.0,,,,,,,
2,2021-05-11 14:41:17.009825,,,21214.0,,,,,,
3,2021-05-11 14:41:17.315288,,,,0.1,,,,,
4,2021-05-11 14:41:17.352285,,,,,-0.0,,,,
5,2021-05-11 14:41:17.361285,,,,,,1.1,,,
6,2021-05-11 14:41:17.369288,,,,,,,0.2,,
7,2021-05-11 14:41:17.376275,,,,,,,,-0.0,
8,2021-05-11 14:41:17.381276,,,,,,,,,-0.1
9,2021-05-11 14:41:17.946541,,,,0.1,,,,,
10,2021-05-11 14:41:17.979559,,,,,-0.0,,,,
11,2021-05-11 14:41:17.990525,,,,,,1.1,,,
12,2021-05-11 14:41:17.996560,,,,,,,0.1,,
13,2021-05-11 14:41:18.002557,,,,,,,,0.1,
14,2021-05-11 14:41:18.007556,,,,,,,,,-0.1
15,2021-05-11 14:41:18.573480,,,,0.1,,,,,
16,2021-05-11 14:41:18.611258,,,,,-0.0,,,,
17,2021-05-11 14:41:18.621372,,,,,,1.1,,,
18,2021-05-11 14:41:18.627898,,,,,,,-0.2,,
19,2021-05-11 14:41:18.632901,,,,,,,,-0.0,
20,2021-05-11 14:41:18.638900,,,,,,,,,0.1
21,2021-05-11 14:41:19.193594,,,,0.0,,,,,
22,2021-05-11 14:41:19.219633,,,,,-0.0,,,,
23,2021-05-11 14:41:19.227608,,,,,,1.1,,,
24,2021-05-11 14:41:19.234588,,,,,,,0.1,,
25,2021-05-11 14:41:19.241580,,,,,,,,-0.0,
26,2021-05-11 14:41:19.246581,,,,,,,,,0.1
27,2021-05-11 14:41:19.812090,,,,0.0,,,,,
28,2021-05-11 14:41:19.829084,,,,,0.0,,,,
29,2021-05-11 14:41:19.840131,,,,,,1.1,,,
30,2021-05-11 14:41:19.846128,,,,,,,2.2,,
31,2021-05-11 14:41:19.854089,,,,,,,,1.4,
32,2021-05-11 14:41:19.860083,,,,,,,,,0.0
33,2021-05-11 14:41:20.441919,,,,0.6,,,,,
34,2021-05-11 14:41:20.458912,,,,,-0.0,,,,
35,2021-05-11 14:41:20.471974,,,,,,0.9,,,
36,2021-05-11 14:41:20.476942,,,,,,,-2.0,,
37,2021-05-11 14:41:20.484922,,,,,,,,-67.7,
38,2021-05-11 14:41:20.490914,,,,,,,,,-0.5
39,2021-05-11 14:41:21.072287,,,,0.9,,,,,
40,2021-05-11 14:41:21.088291,,,,,-0.1,,,,
41,2021-05-11 14:41:21.095301,,,,,,0.6,,,
42,2021-05-11 14:41:21.106289,,,,,,,-0.7,,
43,2021-05-11 14:41:21.112291,,,,,,,,-16.4,
44,2021-05-11 14:41:21.119288,,,,,,,,,-0.0
45,2021-05-11 14:41:21.702407,,,,1.0,,,,,
46,2021-05-11 14:41:21.722395,,,,,-0.1,,,,
47,2021-05-11 14:41:21.727388,,,,,,0.2,,,
48,2021-05-11 14:41:21.734388,,,,,,,-2.2,,
49,2021-05-11 14:41:21.739393,,,,,,,,-42.6,
50,2021-05-11 14:41:21.745396,,,,,,,,,-0.5
51,2021-05-11 14:41:22.339421,,,,1.0,,,,,
52,2021-05-11 14:41:22.360434,,,,,-0.1,,,,
53,2021-05-11 14:41:22.369434,,,,,,-0.2,,,
54,2021-05-11 14:41:22.374448,,,,,,,-0.4,,
55,2021-05-11 14:41:22.384471,,,,,,,,-10.3,
56,2021-05-11 14:41:22.390434,,,,,,,,,-0.0
57,2021-05-11 14:41:22.968604,,,,1.0,,,,,
58,2021-05-11 14:41:22.991635,,,,,-0.1,,,,
59,2021-05-11 14:41:23.000637,,,,,,-0.2,,,
60,2021-05-11 14:41:23.005638,,,,,,,0.0,,
61,2021-05-11 14:41:23.012627,,,,,,,,-0.8,
62,2021-05-11 14:41:23.019604,,,,,,,,,-0.2
63,2021-05-11 14:41:23.599874,,,,1.0,,,,,
64,2021-05-11 14:41:23.621871,,,,,-0.1,,,,
